City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.9266,125.4092,25.23,37,57,1.3,TL,1670380639
1,hamilton,39.1834,-84.5333,12.77,97,100,8.05,US,1670380185
2,ushuaia,-54.8,-68.3,4.81,48,75,5.14,AR,1670380640
3,bethel,41.3712,-73.414,12.47,87,100,0.45,US,1670380641
4,dikson,73.5069,80.5464,-15.64,94,100,5.68,RU,1670380641
5,tarko-sale,64.9225,77.785,-19.04,96,27,5.47,RU,1670380642
6,mitsamiouli,-11.3847,43.2844,27.04,74,56,4.82,KM,1670380643
7,porbandar,21.6422,69.6093,21.4,40,2,4.51,IN,1670380643
8,vuktyl,63.8567,57.3094,-15.06,88,98,5.08,RU,1670380409
9,puerto ayora,-0.7393,-90.3518,20.31,88,20,0.45,EC,1670380645
10,leningradskiy,69.3833,178.4167,-20.93,96,4,2.48,RU,1670380645
11,libreville,0.3925,9.4537,23.01,100,75,2.57,GA,1670380646
12,matara,5.9485,80.5353,25.22,85,100,2.3,LK,1670380500
13,lchashen,40.5176,44.9319,-8.88,93,72,1.69,AM,1670380647
14,porto walter,-8.2686,-72.7439,23.8,84,100,1.11,BR,1670380647
15,vaini,-21.2,-175.2,29.09,79,40,4.12,TO,1670380648
16,okhotsk,59.3833,143.3,-24.61,92,40,2.62,RU,1670380649
17,jamestown,42.097,-79.2353,6.77,97,100,2.57,US,1670380580
18,east london,-33.0153,27.9116,16.63,83,0,4.63,ZA,1670380650
19,amparafaravola,-17.5833,48.2167,16.79,87,63,2.08,MG,1670380650
20,pernik,42.6,23.0333,3.04,94,99,1.43,BG,1670380651
21,bocas del toro,9.3333,-82.25,25.37,76,7,1.91,PA,1670380652
22,kodiak,57.79,-152.4072,2.73,65,20,10.29,US,1670380476
23,mar del plata,-38.0023,-57.5575,19.01,78,40,4.63,AR,1670380381
24,katsuura,35.1333,140.3,11.97,61,82,3.64,JP,1670380653
25,churapcha,62.0025,132.4325,-36.79,100,90,1.47,RU,1670380654
26,san patricio,28.017,-97.5169,22.92,89,81,5.81,US,1670380582
27,puerto leguizamo,-0.1934,-74.7819,22.14,96,98,0.46,CO,1670380655
28,sao jose da coroa grande,-8.8978,-35.1478,24.7,83,25,2.28,BR,1670380655
29,kaitangata,-46.2817,169.8464,15.14,56,2,7.98,NZ,1670380444
30,mount isa,-20.7333,139.5,38.87,18,0,4.12,AU,1670380439
31,cururupu,-1.8283,-44.8683,23.69,87,11,1.53,BR,1670380656
32,new norfolk,-42.7826,147.0587,17.62,39,41,2.5,AU,1670380436
33,katima mulilo,-17.5,24.2667,18.98,85,100,3.04,NA,1670380657
34,barrow,71.2906,-156.7887,-8.99,86,100,9.77,US,1670380658
35,vyselki,45.5794,39.6597,-3.63,70,92,6.52,RU,1670380658
36,atuona,-9.8,-139.0333,25.13,79,45,6.93,PF,1670380659
37,rikitea,-23.1203,-134.9692,24.12,81,10,8.56,PF,1670380430
38,ambon,-3.6954,128.1814,31.08,66,20,2.57,ID,1670380660
39,georgetown,5.4112,100.3354,28.83,83,20,2.06,MY,1670380641
40,praia da vitoria,38.7333,-27.0667,14.14,88,75,13.77,PT,1670380661
41,carnarvon,-24.8667,113.6333,23.5,64,55,7.06,AU,1670380661
42,bredasdorp,-34.5322,20.0403,14.0,79,0,0.79,ZA,1670380662
43,bengkulu,-3.8004,102.2655,28.29,66,99,1.07,ID,1670380662
44,busselton,-33.65,115.3333,22.89,37,1,2.58,AU,1670380663
45,mankato,44.1636,-93.9994,-3.36,94,0,0.0,US,1670380663
46,dawson creek,55.7666,-120.2362,-21.2,71,0,3.6,CA,1670380664
47,albany,42.6001,-73.9662,11.35,91,100,2.68,US,1670380286
